pitch_rad,roll_rad,tau_pitch_nm,tau_roll_nm
-0.997129,0.166551,157.2523,63.3411
-0.997129,0.176645,157.1856,63.2492
-0.997129,0.186739,157.1199,63.1521
-0.997129,0.196833,157.0551,63.0497
-0.997129,0.206927,156.9913,62.9419
-0.997129,0.217020,156.9285,62.8288
-0.997129,0.227114,156.8666,62.7104
-0.997129,0.237208,156.8057,62.5866
-0.997129,0.247302,156.7457,62.4574
-0.997129,0.257396,156.6866,62.3227
-0.997129,0.267490,156.6284,62.1826
-0.997129,0.277584,156.5712,62.0369
-0.997129,0.287678,156.5148,61.8858
-0.997129,0.297772,156.4593,61.7291
-0.997129,0.307866,156.4047,61.5667
-0.997129,0.317960,156.3510,61.3988
-0.997129,0.328054,156.2982,61.2252
-0.997129,0.338148,156.2461,61.0459
-0.997129,0.348242,156.1950,60.8609
-0.997129,0.358336,156.1446,60.6701
-0.997129,0.368430,156.0951,60.4736
-0.997129,0.378524,156.0464,60.2712
-0.997129,0.388618,155.9984,60.0629
-0.997129,0.398712,155.9512,59.8487
-0.997129,0.408806,155.9048,59.6286
-0.997129,0.418900,155.8592,59.5170
-0.987115,-0.418900,162.9529,60.2717
-0.987115,-0.408806,162.8290,60.3744
-0.987115,-0.398712,162.7060,60.5771
-0.987115,-0.388618,162.5839,60.7743
-0.987115,-0.378524,162.4627,60.9660
-0.987115,-0.368430,162.3424,61.1523
-0.987115,-0.358336,162.2231,61.3331
-0.987115,-0.348242,162.1047,61.5085
-0.987115,-0.338148,161.9873,61.6786
-0.987115,-0.328054,161.8709,61.8433
-0.987115,-0.317960,161.7555,62.0026
-0.987115,-0.307866,161.6410,62.1567
-0.987115,-0.297772,161.5276,62.3054
-0.987115,-0.287678,161.4152,62.4489
-0.987115,-0.277584,161.3039,62.5871
-0.987115,-0.267490,161.1936,62.7201
-0.987115,-0.257396,161.0843,62.8479
-0.987115,-0.247302,160.9762,62.9705
-0.987115,-0.237208,160.8690,63.0879
-0.987115,-0.227114,160.7630,63.2002
-0.987115,-0.217020,160.6580,63.3073
-0.987115,-0.206927,160.5541,63.4093
-0.987115,-0.196833,160.4514,63.5061
-0.987115,-0.186739,160.3497,63.5979
-0.987115,-0.176645,160.2491,63.6845
-0.987115,-0.166551,160.1496,63.7661
-0.987115,-0.156457,160.0512,63.8426
-0.987115,-0.146363,159.9539,63.9140
-0.987115,-0.136269,159.8578,63.9803
-0.987115,-0.126175,159.7627,64.0416
-0.987115,-0.116081,159.6688,64.0979
-0.987115,-0.105987,159.5760,64.1491
-0.987115,-0.095893,159.4843,64.1953
-0.987115,-0.085799,159.3938,64.2365
-0.987115,-0.075705,159.3043,64.2726
-0.987115,-0.065611,159.2160,64.3037
-0.987115,-0.055517,159.1288,64.3298
-0.987115,-0.045423,159.0427,64.3508
-0.987115,-0.035329,158.9577,64.3669
-0.987115,-0.025235,158.8739,64.3779
-0.987115,-0.015141,158.7911,64.3838
-0.987115,-0.005047,158.7095,64.3847
-0.987115,0.005047,158.6290,64.3806
-0.987115,0.015141,158.5496,64.3714
-0.987115,0.025235,158.4713,64.3572
-0.987115,0.035329,158.3941,64.3379
-0.987115,0.045423,158.3180,64.3136
-0.987115,0.055517,158.2430,64.2841
-0.987115,0.065611,158.1691,64.2496
-0.987115,0.075705,158.0962,64.2099
-0.987115,0.085799,158.0245,64.1652
-0.987115,0.095893,157.9538,64.1153
-0.987115,0.105987,157.8843,64.0602
-0.987115,0.116081,157.8157,64.0000
-0.987115,0.126175,157.7483,63.9346
-0.987115,0.136269,157.6819,63.8641
-0.987115,0.146363,157.6166,63.7883
-0.987115,0.156457,157.5523,63.7072
-0.987115,0.166551,157.4890,63.6210
-0.987115,0.176645,157.4268,63.5294
-0.987115,0.186739,157.3657,63.4325
-0.987115,0.196833,157.3055,63.3304
-0.987115,0.206927,157.2463,63.2228
-0.987115,0.217020,157.1882,63.1099
-0.987115,0.227114,157.1311,62.9916
-0.987115,0.237208,157.0749,62.8679
-0.987115,0.247302,157.0198,62.7388
-0.987115,0.257396,156.9656,62.6041
-0.987115,0.267490,156.9124,62.4640
-0.987115,0.277584,156.8601,62.3183
-0.987115,0.287678,156.8088,62.1671
-0.987115,0.297772,156.7584,62.0102
-0.987115,0.307866,156.7089,61.8478
-0.987115,0.317960,156.6604,61.6796
-0.987115,0.328054,156.6128,61.5058
-0.987115,0.338148,156.5660,61.3263
-0.987115,0.348242,156.5202,61.1410
-0.987115,0.358336,156.4752,60.9499
-0.987115,0.368430,156.4311,60.7529
-0.987115,0.378524,156.3878,60.5501
-0.987115,0.388618,156.3454,60.3414
-0.987115,0.398712,156.3038,60.1268
-0.987115,0.408806,156.2630,59.9061
-0.987115,0.418900,156.2230,59.7943
-0.977101,-0.418900,162.9765,60.4712
-0.977101,-0.408806,162.8549,60.5750
-0.977101,-0.398712,162.7341,60.7797
-0.977101,-0.388618,162.6143,60.9790
-0.977101,-0.378524,162.4954,61.1727
-0.977101,-0.368430,162.3774,61.3610
-0.977101,-0.358336,162.2604,61.5438
-0.977101,-0.348242,162.1444,61.7212
-0.977101,-0.338148,162.0294,61.8932
-0.977101,-0.328054,161.9154,62.0599
-0.977101,-0.317960,161.8024,62.2211
-0.977101,-0.307866,161.6905,62.3771
-0.977101,-0.297772,161.5796,62.5277
-0.977101,-0.287678,161.4698,62.6730
-0.977101,-0.277584,161.3610,62.8131
-0.977101,-0.267490,161.2533,62.9479
-0.977101,-0.257396,161.1467,63.0774
-0.977101,-0.247302,161.0411,63.2018
-0.977101,-0.237208,160.9367,63.3209
-0.977101,-0.227114,160.8334,63.4348
-0.977101,-0.217020,160.7312,63.5436
-0.977101,-0.206927,160.6301,63.6472
-0.977101,-0.196833,160.5301,63.7456
-0.977101,-0.186739,160.4313,63.8389
-0.977101,-0.176645,160.3336,63.9271
-0.977101,-0.166551,160.2370,64.0102
-0.977101,-0.156457,160.1416,64.0881
-0.977101,-0.146363,160.0474,64.1610
-0.977101,-0.136269,159.9542,64.2287
-0.977101,-0.126175,159.8623,64.2914
-0.977101,-0.116081,159.7715,64.3490
-0.977101,-0.105987,159.6818,64.4016
-0.977101,-0.095893,159.5933,64.4490
-0.977101,-0.085799,159.5060,64.4914
-0.977101,-0.075705,159.4198,64.5288
-0.977101,-0.065611,159.3348,64.5610
-0.977101,-0.055517,159.2509,64.5882
-0.977101,-0.045423,159.1682,64.6104
-0.977101,-0.035329,159.0867,64.6275
-0.977101,-0.025235,159.0063,64.6395
-0.977101,-0.015141,158.9271,64.6465
-0.977101,-0.005047,158.8490,64.6483
-0.977101,0.005047,158.7721,64.6451
-0.977101,0.015141,158.6963,64.6368
-0.977101,0.025235,158.6217,64.6235
-0.977101,0.035329,158.5482,64.6050
-0.977101,0.045423,158.4759,64.5814
-0.977101,0.055517,158.4047,64.5527
-0.977101,0.065611,158.3347,64.5189
-0.977101,0.075705,158.2658,64.4799
-0.977101,0.085799,158.1980,64.4358
-0.977101,0.095893,158.1313,64.3865
-0.977101,0.105987,158.0658,64.3320
-0.977101,0.116081,158.0014,64.2723
-0.977101,0.126175,157.9381,64.2074
-0.977101,0.136269,157.8759,64.1372
