joint_angle_rad,motor_angle_rad,transmission_ratio,torque_limit_nm
0.595626,0.637574,0.943297,207.5254
0.597197,0.639056,0.942834,207.4235
0.598769,0.640538,0.942371,207.3217
0.600340,0.642018,0.941909,207.2200
0.601912,0.643498,0.941448,207.1185
0.603483,0.644978,0.940987,207.0171
0.605055,0.646456,0.940527,206.9158
0.606627,0.647934,0.940067,206.8147
0.608198,0.649411,0.939608,206.7137
0.609770,0.650887,0.939149,206.6128
0.611341,0.652363,0.938691,206.5120
0.612913,0.653838,0.938233,206.4113
0.614484,0.655312,0.937776,206.3108
0.616056,0.656785,0.937320,206.2103
0.617628,0.658258,0.936864,206.1100
0.619199,0.659730,0.936408,206.0098
0.620771,0.661201,0.935953,205.9098
0.622342,0.662672,0.935499,205.8098
0.623914,0.664141,0.935045,205.7099
0.625485,0.665611,0.934592,205.6102
0.627057,0.667079,0.934139,205.5106
0.628629,0.668547,0.933687,205.4111
0.630200,0.670014,0.933235,205.3116
0.631772,0.671480,0.932783,205.2123
0.633343,0.672946,0.932332,205.1131
0.634915,0.674411,0.931882,205.0140
0.636486,0.675875,0.931432,204.9151
0.638058,0.677338,0.930983,204.8162
0.639630,0.678801,0.930534,204.7174
0.641201,0.680263,0.930085,204.6187
0.642773,0.681724,0.929637,204.5201
0.644344,0.683185,0.929189,204.4217
0.645916,0.684645,0.928742,204.3233
0.647487,0.686104,0.928296,204.2250
0.649059,0.687563,0.927849,204.1268
0.650631,0.689020,0.927403,204.0288
0.652202,0.690478,0.926958,203.9308
0.653774,0.691934,0.926513,203.8329
0.655345,0.693390,0.926069,203.7351
0.656917,0.694845,0.925624,203.6374
0.658488,0.696299,0.925181,203.5398
0.660060,0.697753,0.924737,203.4422
0.661632,0.699206,0.924295,203.3448
0.663203,0.700658,0.923852,203.2475
0.664775,0.702109,0.923410,203.1502
0.666346,0.703560,0.922968,203.0531
0.667918,0.705011,0.922527,202.9560
0.669489,0.706460,0.922086,202.8590
0.671061,0.707909,0.921646,202.7621
0.672633,0.709357,0.921206,202.6653
0.674204,0.710804,0.920766,202.5685
0.675776,0.712251,0.920327,202.4719
0.677347,0.713697,0.919888,202.3753
0.678919,0.715142,0.919449,202.2788
0.680490,0.716587,0.919011,202.1824
0.682062,0.718031,0.918573,202.0861
0.683634,0.719474,0.918136,201.9898
0.685205,0.720917,0.917698,201.8937
0.686777,0.722359,0.917262,201.7976
0.688348,0.723800,0.916825,201.7015
0.689920,0.725240,0.916389,201.6056
0.691491,0.726680,0.915953,201.5097
0.693063,0.728119,0.915518,201.4139
0.694635,0.729558,0.915083,201.3182
0.696206,0.730996,0.914648,201.2226
0.697778,0.732433,0.914214,201.1270
0.699349,0.733869,0.913779,201.0315
0.700921,0.735305,0.913346,200.9360
0.702492,0.736740,0.912912,200.8407
0.704064,0.738174,0.912479,200.7454
0.705636,0.739608,0.912046,200.6501
0.707207,0.741041,0.911614,200.5550
0.708779,0.742473,0.911181,200.4599
0.710350,0.743905,0.910749,200.3648
0.711922,0.745336,0.910318,200.2699
0.713493,0.746766,0.909886,200.1750
0.715065,0.748196,0.909455,200.0801
0.716637,0.749625,0.909024,199.9854
0.718208,0.751053,0.908594,199.8906
0.719780,0.752480,0.908164,199.7960
0.721351,0.753907,0.907734,199.7014
0.722923,0.755334,0.907304,199.6068
0.724494,0.756759,0.906874,199.5124
0.726066,0.758184,0.906445,199.4179
0.727638,0.759608,0.906016,199.3236
0.729209,0.761032,0.905588,199.2293
0.730781,0.762455,0.905159,199.1350
0.732352,0.763877,0.904731,199.0408
0.733924,0.765298,0.904303,198.9467
0.735495,0.766719,0.903875,198.8526
0.737067,0.768139,0.903448,198.7586
0.738639,0.769559,0.903021,198.6646
0.740210,0.770978,0.902594,198.5706
0.741782,0.772396,0.902167,198.4768
0.743353,0.773813,0.901741,198.3829
0.744925,0.775230,0.901314,198.2891
0.746496,0.776646,0.900888,198.1954
0.748068,0.778062,0.900462,198.1017
0.749640,0.779477,0.900037,198.0081
0.751211,0.780891,0.899611,197.9145
0.752783,0.782304,0.899186,197.8210
0.754354,0.783717,0.898761,197.7275
0.755926,0.785129,0.898336,197.6340
0.757497,0.786541,0.897912,197.5406
0.759069,0.787951,0.897487,197.4472
0.760641,0.789361,0.897063,197.3539
